membership:3_PacBio_aggregated_set_id	3_PacBio_aggregated
BCM_Fam_BH17201	BCM_m84059_250413_140705_s3_A11...PacBio
BCM_Fam_BH17201	BCM_m84059_250414_195923_s1_A11...PacBio
BCM_Fam_BH17201	BCM_m84059_250414_220122_s2_A11...PacBio
BCM_Fam_BH16475	BCM_m84059_250415_000326_s3_A11...PacBio
BCM_Fam_BH16475	BCM_m84059_250415_020533_s4_A11...PacBio
BCM_Fam_BH16475	BCM_m84059_250416_075802_s2_A11...PacBio
BCM_Fam_BH14802	BCM_m84059_250416_100004_s3_A11...PacBio
BCM_Fam_BH14802	BCM_m84059_250416_120446_s4_A11...PacBio
BCM_Fam_BH14592	BCM_m84059_250417_195641_s3_A11...PacBio
BCM_Fam_BH14592	BCM_m84059_250417_220105_s4_A11...PacBio
BCM_Fam_BH14592	BCM_m84059_250419_035057_s2_A11...PacBio
BCM_Fam_BH14594	BCM_m84059_250421_234405_s2_A11...PacBio
BCM_Fam_BH13982	BCM_m84059_250423_114250_s3_A11...PacBio
BCM_Fam_BH13982	BCM_m84059_250423_134639_s4_A11...PacBio
BCM_Fam_BH13982	BCM_m84059_250424_213927_s3_A11...PacBio
BCM_Fam_BH13982	BCM_m84059_250424_234305_s4_A11...PacBio
BCM_Fam_BH14461	BCM_m84059_250427_173213_s3_A11...PacBio
BCM_Fam_BH13998	BCM_m84059_250430_210047_s3_A11...PacBio
BCM_Fam_BH14461	BCM_m84059_250503_234250_s2_A11...PacBio
BCM_Fam_BH14567	BCM_m84059_250513_131900_s1_A11...PacBio
BCM_Fam_BH17202	BCM_m84059_250516_091150_s1_A11...PacBio
BCM_Fam_BH13998	BCM_m84059_250521_012839_s1_A11...PacBio
BCM_Fam_BH11231	BCM_m84101_240318_170908_s4_A11...PacBio
BCM_Fam_BH11231	BCM_m84101_240318_190820_s1_A11...PacBio
BCM_Fam_BH11231	BCM_m84101_240318_210724_s2_A11...PacBio
BCM_Fam_BH16785	BCM_m84101_240401_215608_s2_A11...PacBio
BCM_Fam_BH16773	BCM_m84101_240405_233316_s4_A11...PacBio
BCM_Fam_BH16773	BCM_m84101_240406_013237_s1_A11...PacBio
BCM_Fam_BH16788	BCM_m84101_240406_033154_s2_A11...PacBio
BCM_Fam_BH16788	BCM_m84101_240408_152236_s4_A11...PacBio
BCM_Fam_BH16788	BCM_m84101_240408_172150_s1_A11...PacBio
BCM_Fam_BH16732	BCM_m84101_240408_192059_s2_A11...PacBio
BCM_Fam_BH16895	BCM_m84101_240411_174229_s4_A11...PacBio
BCM_Fam_BH10081	BCM_m84101_240716_170522_s1_A11...PacBio
BCM_Fam_BH10081	BCM_m84101_240718_162743_s4_A11...PacBio
BCM_Fam_BH17227	BCM_m84101_240729_170109_s4_A11...PacBio
BCM_Fam_BH17227	BCM_m84101_240806_181944_s3_A11...PacBio
BCM_Fam_BH17273	BCM_m84101_240806_201850_s4_A11...PacBio
BCM_Fam_BH16485	BCM_m84101_240808_135344_s1_A11...PacBio
BCM_Fam_BH16485	BCM_m84101_240808_155300_s2_A11...PacBio
BCM_Fam_BH16485	BCM_m84101_240808_175206_s3_A11...PacBio
BCM_Fam_BH16492	BCM_m84101_240808_195120_s4_A11...PacBio
BCM_Fam_BH16628	BCM_m84101_240812_142923_s2_A11...PacBio
BCM_Fam_BH16776	BCM_m84101_240823_193935_s3_A11...PacBio
BCM_Fam_BH16778	BCM_m84101_240823_213850_s4_A11...PacBio
BCM_Fam_BCM17299	BCM_m84101_240826_161828_s1_A11...PacBio
BCM_Fam_BH16772	BCM_m84101_240826_181733_s2_A11...PacBio
BCM_Fam_BH16775	BCM_m84101_240828_210910_s3_A11...PacBio
BCM_Fam_BH16772	BCM_m84101_240912_025806_s1_A11...PacBio
BCM_Fam_BCM17299	BCM_m84101_240912_045720_s2_A11...PacBio
BCM_Fam_BH2557	BCM_m84101_240925_170923_s1_A11...PacBio
